"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00015134",1.44688730258057,-17.1288335038053,1.7035705044572,-10.0546666304621,8.76174753621463e-24,4.60320311183876e-20,"pdam_00015134 unknown function"
"pdam_00024884",13.8642856897851,-17.094930960323,1.95536300441833,-8.74258688626884,2.27832541422324e-18,3.68300065999242e-15,"pdam_00024884 unknown function"
"pdam_00025531",11.8346349432788,-16.6934032485273,3.60346785828172,-4.6325939081603,3.6111244389457e-06,8.57168629286946e-05,"pdam_00025531 unknown function"
"pdam_00025532",4.76653263925972,-15.6413997458174,3.38293919432068,-4.62361244094376,3.77114168460483e-06,8.85480921809726e-05,"pdam_00025532 unknown function"
"pdam_00016268",61.1545852043367,-7.94306061385037,0.959954225955221,-8.27441600764502,1.29086727795667e-16,1.35637879231297e-13,"pdam_00016268 DELTA-alicitoxin-Pse2b (Phyllodiscus semoni)"
"pdam_00015338",315.384104127999,-7.56328648181338,1.03844332310678,-7.28329251440105,3.25769801290124e-13,1.16034786001898e-10,"pdam_00015338 GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)"
"pdam_00000055",8.0941461067871,-5.92509865361688,1.13701576733774,-5.21109629595568,1.8772797350357e-07,7.93783372872742e-06,"pdam_00000055 dpp: Protein decapentaplegic (Tribolium castaneum)"
"pdam_00015350",13.8859986241305,-5.75907528624172,1.0008232604166,-5.75433796756929,8.6981987354002e-09,6.84616653275039e-07,"pdam_00015350 GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)"
"pdam_00020136",111.638553022747,-5.67180198968104,1.05333618080853,-5.38460758589667,7.26028675466481e-08,3.82393298619752e-06,"pdam_00020136 Vitellogenin (Fragment) (Acipenser transmontanus)"
"pdam_00014422",8.26987995086878,-5.61339634543715,1.02083947060399,-5.49880417742462,3.82375482106102e-08,2.29589164470278e-06,"pdam_00014422 unknown function"
"pdam_00012401",11.9071077871131,-5.26604914264528,0.899328208319014,-5.8555364926097,4.75472598315473e-09,4.19834313176456e-07,"pdam_00012401 COL6A5: Collagen alpha-5(VI) chain (Homo sapiens)"
"pdam_00006165",20.2301486345296,-5.2618724416655,0.762525695545005,-6.90058377364536,5.17892692012145e-12,1.3604393653294e-09,"pdam_00006165 unknown function"
"pdam_00003275",20.2792457762586,-5.17855681977597,1.62737886823701,-3.18214579336775,0.00146188208892576,0.00943823413172803,"pdam_00003275 unknown function"
"pdam_00019328",44.3869883686101,-5.06232638526505,1.13441071212001,-4.46251638068939,8.10027340747456e-06,0.00016196693211996,"pdam_00019328 MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
"pdam_00016129",6.67918960846961,-5.04008475970325,0.991087862270151,-5.08540660376831,3.66839317792512e-07,1.34774969640029e-05,"pdam_00016129 ABCC4: Multidrug resistance-associated protein 4 (Homo sapiens)"
"pdam_00006511",210.288588215372,-5.03955662005908,1.08020451404779,-4.6653726720458,3.08058205473627e-06,7.59840749768576e-05,"pdam_00006511 Probable G-protein coupled receptor No9 (Amphibalanus amphitrite)"
"pdam_00019444",9.01958273513539,-4.9475253584519,1.13451895410328,-4.3609014556856,1.29527696216895e-05,0.000239193720210725,"pdam_00019444 unknown function"
"pdam_00009476",3.37001961976399,-4.94407362362916,1.06166813303321,-4.65689180055147,3.21019046439008e-06,7.85670715998393e-05,"pdam_00009476 unknown function"
"pdam_00017718",5.16678791508458,-4.88077057935673,0.982854003037893,-4.96591616279814,6.83774913738327e-07,2.28450394470762e-05,"pdam_00017718 unknown function"
"pdam_00025208",5.83567696654787,-4.85819952610977,1.07089250301325,-4.53658935181626,5.71712735333828e-06,0.000123226083415799,"pdam_00025208 REJ: Sperm receptor for egg jelly (Strongylocentrotus purpuratus)"
"pdam_00002774",3.84506341971294,-4.8467587481113,1.56992390971861,-3.08725710724415,0.00202012788257298,0.0121294249863632,"pdam_00002774 unknown function"
"pdam_00017781",101.770492425911,-4.75192238430606,1.6983707724365,-2.79792991108114,0.00514312717386517,0.0248180981765273,"pdam_00017781 Crygb: Gamma-crystallin B (Rattus norvegicus)"
"pdam_00018708",397.51713820967,-4.72785513315461,1.19150093787185,-3.96798272068427,7.24835879793703e-05,0.000929940538086976,"pdam_00018708 unknown function"
"pdam_00021137",2.1258179378992,-4.69612019829104,1.17752441272527,-3.98812979802459,6.65962256853769e-05,0.000871974880235636,"pdam_00021137 unknown function"
"pdam_00019416",29.7112738125613,-4.6638739017112,1.43745207103837,-3.24454219773892,0.00117639585766514,0.00796711535573085,"pdam_00019416 Mrc2: C-type mannose receptor 2 (Mus musculus)"
"pdam_00023350",13.3763385074237,-4.6621942598226,0.848411768936413,-5.49520224792169,3.90262890448783e-08,2.31677249796079e-06,"pdam_00023350 unknown function"
"pdam_00020388",4.67928305185572,-4.64476353892703,1.2135598045547,-3.82738742787493,0.000129510582585169,0.00145933774425058,"pdam_00020388 unknown function"
