"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00020672",595.994284447438,2.43626765410396,0.25629297344937,9.50579183391168,1.98531772654409e-21,3.30396576051468e-17,"pdam_00020672 unknown function"
"pdam_00016645",82.5985314446984,-4.82773230695941,0.566517068417983,-8.52177732339292,1.57123260707948e-17,1.30742265235084e-13,"pdam_00016645 GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)"
"pdam_00002777",148.506165034726,2.81213014247278,0.335995000200292,8.36955948986271,5.78340252926843e-17,3.20824616306951e-13,"pdam_00002777 Hey: Hairy/enhancer-of-split related with YRPW motif protein (Drosophila melanogaster)"
"pdam_00010714",1042.279630596,3.01909767533985,0.363960181955983,8.29513178918285,1.08464888434485e-16,4.51268168331676e-13,"pdam_00010714 HEBP2: Heme-binding protein 2 (Homo sapiens)"
"pdam_00016155",228.218501345252,-2.96919740474361,0.367035174536176,-8.08968080101806,5.98212945101918e-16,1.99109196647722e-12,"pdam_00016155 unknown function"
"pdam_00009540",940.179917259802,2.4767810011307,0.309364245697389,8.00603507217642,1.18465953673105e-15,3.28585066837969e-12,"pdam_00009540 Hlf: Hepatic leukemia factor (Rattus norvegicus)"
"pdam_00006151",66.7291381308875,-3.09295398003306,0.442358685756984,-6.99195942030675,2.71073297083715e-12,6.4445740143817e-09,"pdam_00006151 Celsr1: Cadherin EGF LAG seven-pass G-type receptor 1 (Mus musculus)"
"pdam_00002776",259.677392584835,2.91426611556492,0.421646104421027,6.91164008159538,4.7908212197255e-12,9.96610584233396e-09,"pdam_00002776 unknown function"
"pdam_00017676",39.0294998711792,-5.0025572594087,0.746776271047789,-6.69887013467862,2.10037142464635e-11,3.88382013877384e-08,"pdam_00017676 MAM and fibronectin type III domain-containing protein 1 (Fragment) (Acropora millepora)"
"pdam_00003228",37.5862726544849,-4.95374338425929,0.743134821036244,-6.66600897176596,2.62853197800217e-11,4.37440291779122e-08,"pdam_00003228 unknown function"
"pdam_00013037",74.5757445481331,-3.03896132346435,0.475594156360398,-6.38982057038032,1.66080517314909e-10,2.5126472446861e-07,"pdam_00013037 unknown function"
"pdam_00012524",625.509380587465,-1.61253560208102,0.262616562590348,-6.14026619713392,8.23833074497656e-10,1.14251916881583e-06,"pdam_00012524 betS: Glycine betaine/proline betaine transporter BetS (Rhizobium meliloti)"
"pdam_00020671",2962.82964383406,2.22932461843085,0.383347665686854,5.81541200840891,6.04847233493989e-09,7.74297512292844e-06,"pdam_00020671 unknown function"
"pdam_00006473",3008.06052673142,1.54231047879032,0.27070187014805,5.69745040160533,1.21612344323665e-08,1.44562331016745e-05,"pdam_00006473 CRY1: Cryptochrome-1 (Sylvia borin)"
"pdam_00013589",54.8607088561184,-2.6910697649817,0.481880149298793,-5.58452089984949,2.34345336252529e-08,2.59998339060973e-05,"pdam_00013589 unknown function"
"pdam_00015938",166.26060801667,-1.57394344751201,0.290841751630883,-5.41168329060798,6.24350426610324e-08,6.49402487478064e-05,"pdam_00015938 unknown function"
"pdam_00022718",129.439724478531,-1.95959217941253,0.366989046314641,-5.33964759736306,9.31274254784651e-08,9.11662714595657e-05,"pdam_00022718 Hmcn2: Hemicentin-2 (Mus musculus)"
"pdam_00022226",381.789871190822,-2.07456621928776,0.395075532069079,-5.2510622675692,1.51224543559788e-07,0.000139815491884555,"pdam_00022226 unknown function"
"pdam_00017586",512.607346421153,2.0739268215589,0.402033664388453,5.15858995219622,2.48816561968151e-07,0.000217937117067051,"pdam_00017586 Fat3: Protocadherin Fat 3 (Rattus norvegicus)"
"pdam_00004604",26.2283453811693,3.71897252923327,0.7264919972916,5.11908258191115,3.07025508304333e-07,0.000255475925460035,"pdam_00004604 unknown function"
"pdam_00006916",6091.6773136582,1.73497186960955,0.339831784115246,5.10538434221671,3.30122850643065e-07,0.000261614499066756,"pdam_00006916 DMBT1: Deleted in malignant brain tumors 1 protein (Homo sapiens)"
"pdam_00004366",45.9180862804311,-2.58930035695627,0.530536794874178,-4.88052927143414,1.0580150809456e-06,0.000800340317140757,"pdam_00004366 dio3: Thyroxine 5-deiodinase (Xenopus laevis)"
"pdam_00009526",127.980928955771,1.63721656518741,0.336408166712768,4.866756301387,1.13444773433267e-06,0.000820846921511492,"pdam_00009526 LCC5: Laccase-5 (Trametes villosa)"
"pdam_00005330",123.023087393794,-1.64614318655597,0.339990885456374,-4.84172740203411,1.28715262287074e-06,0.000892533081242283,"pdam_00005330 unknown function"
"pdam_00003538",62.075470271226,-2.01638304500794,0.418219264947375,-4.82135380650546,1.42587200049519e-06,0.000949174473289638,"pdam_00003538 Fgf2: Fibroblast growth factor 2 (Mus musculus)"
"pdam_00012142",87.4243550531185,-2.84116167526912,0.593665824315494,-4.78579288027068,1.70313624372156e-06,0.00109013820646209,"pdam_00012142 unknown function"
"pdam_00016190",20212.0654903887,1.04745684228144,0.222446367949866,4.70880622567642,2.49171806919815e-06,0.00153582118917021,"pdam_00016190 Major yolk protein (Strongylocentrotus purpuratus)"
"pdam_00006065",1178.54840706614,-1.11596291664736,0.237474121642149,-4.69930327115394,2.61050553780634e-06,0.00155157261286332,"pdam_00006065 ABCB1: Multidrug resistance protein 1 (Homo sapiens)"
"pdam_00001872",345.316494087773,2.50534347455747,0.536921641879195,4.6661249596662,3.06933082835333e-06,0.00176137253949848,"pdam_00001872 unknown function"
"pdam_00000498",259.936994770366,-1.54734631976274,0.334749119385917,-4.62240594568639,3.79314808009836e-06,0.0021041856782999,"pdam_00000498 Insoluble matrix shell protein 1 (Fragment) (Ruditapes philippinarum)"
"pdam_00016946",4611.92354750239,-1.22017330636097,0.264726790262598,-4.60917954375002,4.04261114199427e-06,0.00217023014919576,"pdam_00016946 ACIAD3460: Glycine betaine transporter (Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1))"
"pdam_00022704",241.873035434938,1.6336572482724,0.356126763541795,4.58729142405686,4.49033672271066e-06,0.00226449041634397,"pdam_00022704 BP10: Blastula protease 10 (Paracentrotus lividus)"
"pdam_00017049",402.100064018223,1.89039286471455,0.411863170034904,4.58985654035136,4.43550752126757e-06,0.00226449041634397,"pdam_00017049 bhmt: Betaine--homocysteine S-methyltransferase 1 (Xenopus laevis)"
"pdam_00004365",575.946344421967,-2.36410082689586,0.516443382246189,-4.57765731572274,4.702121514211e-06,0.00230155018351469,"pdam_00004365 Dio1: Type I iodothyronine deiodinase (Rattus norvegicus)"
"pdam_00006663",11401.8425035206,-1.48428865136018,0.329619393218482,-4.50303799441905,6.69889019221245e-06,0.0030130521778054,"pdam_00006663 ACIAD3460: Glycine betaine transporter (Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1))"
"pdam_00006420",560.143438591004,1.34524736683433,0.298673613547558,4.5040716883419,6.66637017939963e-06,0.0030130521778054,"pdam_00006420 unknown function"
"pdam_00014761",82.4347938232352,-2.57071365499776,0.570163035520308,-4.50873433534994,6.5215509954883e-06,0.0030130521778054,"pdam_00014761 unknown function"
"pdam_00000466",122.660611735025,-2.05189883586789,0.46080081449003,-4.45289758903473,8.47191681805252e-06,0.00326249816384471,"pdam_00000466 Galaxin (Acropora millepora)"
"pdam_00024670",940.978483249541,-2.12074653064741,0.474815748298339,-4.4664620713357,7.95237531545619e-06,0.00326249816384471,"pdam_00024670 unknown function"
"pdam_00000854",761.261771135789,-1.9847851009729,0.444048200846025,-4.46975147560868,7.83105368017486e-06,0.00326249816384471,"pdam_00000854 RCN3: Reticulocalbin-3 (Homo sapiens)"
"pdam_00019494",514.385555331935,1.53264452548972,0.344489329696949,4.44903337597713,8.62576127924332e-06,0.00326249816384471,"pdam_00019494 MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
